Distance,Time,Avg Run Cadence,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Normalized Power® (NP®),Avg Resp,Active Ratio,Elevation Rate,Score
21.16,7023,161,1.12,8.9,10.3,241,307,27.0,0.9874822190611664,6.805293005671078,0.28329959192343157
8.13,2523,166,1.17,8.7,10.5,240,320,25.0,0.9828460038986355,6.642066420664206,0.5731082741070233
7.2,2287,154,1.21,7.1,8.6,261,343,35.0,0.9558373414954089,6.388888888888888,-0.29120874074538133
8.18,2523,164,1.19,8.5,10.3,238,323,28.0,0.992879746835443,7.334963325183375,0.6090458864068685
21.14,6856,164,1.14,8.9,10.3,241,320,30.0,0.9850355949440651,7.805108798486282,0.3215449880081061
5.36,2412,126,1.03,7.8,7.7,279,280,30.0,0.8277378097521982,6.343283582089552,-0.6764639495056686
8.28,2574,162,1.2,8.5,10.5,239,318,31.0,0.970746728252502,7.608695652173914,-0.07789085073113888
7.01,2193,147,1.29,7.5,9.6,251,350,35.0,0.9010487916096671,6.704707560627675,-0.9578688879486368
8.02,2554,161,1.17,8.5,10.2,247,316,29.0,0.9214755295836377,7.855361596009976,0.6223991249871326
12.26,3931,162,1.16,8.2,9.8,240,312,31.0,0.9910964131264309,6.9331158238172925,-0.25757891223036533
12.63,4163,158,1.15,8.4,9.8,249,314,30.0,0.9841460485226999,6.334125098970704,0.31923720422327684
5.5,1897,138,1.27,7.3,9.0,252,335,34.0,0.8729573010015814,7.2727272727272725,-0.6888302598285089
11.15,3777,160,1.11,8.9,10.1,240,300,33.0,0.9920571882446386,6.995515695067264,-0.05349215735544015
7.02,2267,162,1.14,8.6,10.2,244,312,29.0,0.9863255403617115,6.695156695156696,0.4450188472727354
8.33,2695,156,1.18,8.1,9.8,250,328,35.0,0.9773654916512059,12.48499399759904,-0.8390105962536661
7.93,2483,157,1.21,8.1,9.8,237,330,32.0,0.9864433811802232,6.809583858764187,0.20268669631313557
7.43,2793,143,1.09,7.7,8.1,268,303,31.0,0.9846043680630147,5.7873485868102295,0.12570244001507436
8.08,2683,159,1.13,8.8,10.1,244,307,29.0,0.9795005590756616,6.435643564356436,0.5998147512675512
5.01,1182,169,1.51,6.3,10.0,217,386,41.0,0.9864636209813875,4.1916167664670665,-1.051341558010485
5.1,2239,132,1.02,7.4,7.4,288,269,29.0,0.9026351049575704,2.5490196078431375,-0.056786869397693396
11.51,3473,160,1.22,8.0,9.9,232,330,33.0,0.9985603224877627,5.907906168549088,0.08382840461816499
21.12,6550,164,1.18,8.8,10.6,235,314,29.0,0.9986259541984733,6.912878787878787,0.36209816787761007
6.4,2613,133,1.07,7.2,7.6,276,300,32.0,0.9043245311902028,3.90625,-0.44929935678245037
6.2,2569,136,1.03,8.1,7.9,293,285,30.0,0.9637991436356559,4.67741935483871,-0.2405970343378665
7.96,2482,147,1.28,7.0,9.0,247,348,35.0,0.9258662369057212,8.291457286432161,-0.09585965688106146
8.12,2344,166,1.26,8.3,10.8,230,334,29.0,0.9970136518771331,8.620689655172415,0.6339380439112792
21.13,6283,166,1.22,9.1,11.3,226,326,28.0,0.9966576476205634,6.814955040227166,0.2791774884824848
4.01,1314,159,1.16,9.1,10.6,247,318,27.0,0.9984779299847792,6.234413965087282,0.6716899758672419
11.42,3096,165,1.35,8.1,11.1,227,353,37.0,0.9977390180878553,6.91768826619965,-0.625199242110712
11.85,3457,157,1.31,7.9,10.6,236,347,36.0,0.9754122071159965,6.666666666666667,-0.4750189056855546
6.93,2239,143,1.28,7.5,9.4,252,349,33.0,0.8905761500669942,5.772005772005772,-0.6100316838743304
5.25,1774,161,1.11,9.4,10.6,244,300,28.0,0.9954904171364148,5.523809523809524,0.808517073712135
5.3,1632,165,1.2,8.9,11.0,235,330,27.0,0.9938725490196079,9.245283018867925,0.8200559926362816
6.66,2006,161,1.24,8.5,10.5,236,324,29.0,0.9910269192422732,6.756756756756757,0.3128073169975008
13.18,3968,164,1.21,8.9,11.1,235,320,32.0,0.9921875,7.207890743550835,0.20730226388279427
9.29,3203,152,1.12,8.5,9.4,249,294,30.0,0.9856384639400562,6.027987082884823,0.36622027131855683
6.18,2002,154,1.25,8.4,10.5,243,314,30.0,0.9345654345654346,4.207119741100324,0.3215449880081061
10.56,3295,158,1.21,8.8,10.8,236,321,34.0,0.997268588770865,6.723484848484848,-0.41237481622518124
10.03,2921,158,1.3,7.9,10.5,231,338,35.0,0.9763779527559056,5.583250249252243,-0.3515450464209253
10.03,3005,165,1.22,8.9,11.1,235,329,32.0,0.9970109598140153,6.679960119641077,0.22527107003271685
7.21,2571,151,1.1,8.9,9.7,263,292,31.0,0.9914430182808246,4.438280166435506,-0.16592056182463466
