Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Treadmill Running,2025-05-30 12:41:51,false,"Base","8.03","379","00:37:54","130","142","2.3","158","240","4:43","2:57","--","--","1.31","8.4","11.0","268","--","--","323","0.0","322","501","5,960","--","No","00:03:47.9","8","--","--","--","--","00:37:52","00:39:58","--","--"
Treadmill Running,2025-05-29 12:25:40,false,"Treadmill Running","5.03","271","00:24:07","134","145","2.2","158","166","4:48","4:15","--","--","1.28","8.5","10.9","268","--","--","316","0.0","314","374","3,826","--","No","00:04:21.3","5","--","--","--","--","00:23:56","00:25:28","--","--"
Treadmill Running,2025-05-28 16:42:07,false,"Base","8.03","439","00:39:17","136","151","2.6","158","167","4:54","4:01","--","--","1.38","8.2","11.4","264","--","--","341","0.0","340","414","6,174","--","No","00:02:23.9","9","--","--","--","--","00:39:15","00:40:55","--","--"
Running,2025-05-27 16:42:40,false,"Sydney - Sprint","4.98","346","00:35:31","131","167","2.5","135","244","7:08","2:03","44","42","1.00","7.8","7.3","306","50.3% L / 49.7% R","7:00","293","0.0","208","795","4,558","17.0","No","00:00:15","21","24.0","30","21","40","00:33:47","00:36:11","44","57"
Treadmill Running,2025-05-26 17:31:22,false,"Threshold","7.58","440","00:35:04","148","171","3.2","150","255","4:38","3:19","--","--","1.44","8.3","11.8","230","50.8% L / 49.2% R","--","355","0.0","328","474","5,162","--","No","00:00:03.9","11","--","34","22","54","00:32:34","00:35:04","--","--"
Treadmill Running,2025-05-24 15:33:57,false,"Base","6.78","346","00:33:03","133","154","2.6","153","163","4:53","4:31","--","--","1.31","8.5","11.1","271","--","--","317","0.0","310","356","5,064","--","No","00:00:03.4","8","--","--","--","--","00:32:09","00:33:03","--","--"
Treadmill Running,2025-05-23 12:31:48,false,"Threshold","8.02","475","00:40:14","143","175","3.2","138","223","5:01","3:15","--","--","1.57","8.0","12.1","236","51.0% L / 49.0% R","--","374","0.0","326","509","5,462","--","No","00:00:14.1","14","--","34","18","46","00:35:23","00:40:14","--","--"
Treadmill Running,2025-05-22 12:14:52,false,"Base","7.11","351","00:34:25","129","145","2.2","157","165","4:50","4:12","--","--","1.31","8.5","11.1","270","--","--","322","0.0","323","388","5,380","--","No","00:00:32.1","8","--","--","--","--","00:34:23","00:38:15","--","--"
Running,2025-05-20 16:40:39,false,"Sydney Running","5.02","302","00:20:05","163","181","3.3","167","189","4:00","3:09","32","40","1.50","7.4","11.5","207","50.3% L / 49.7% R","4:00","387","0.0","388","520","3,294","20.0","No","00:00:03.9","6","26.0","38","23","51","00:20:01","00:23:03","45","59"
Treadmill Running,2025-05-19 11:31:42,false,"Base","6.06","294","00:30:34","127","139","2.0","153","163","5:03","4:24","--","--","1.34","8.4","11.2","269","--","--","324","0.0","315","374","4,630","--","No","00:00:48.4","7","--","--","--","--","00:29:30","00:30:34","--","--"
