Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Treadmill Running,2025-03-12 10:49:21,false,"Tempo","7.60","474","00:40:07","141","165","3.0","144","255","5:17","3:36","--","--","1.36","8.7","11.8","238","50.3% L / 49.7% R","--","338","0.0","305","541","5,678","--","No","00:00:07.2","11","--","34","15","46","00:36:42","00:40:07","--","--"
Treadmill Running,2025-03-11 18:05:46,false,"Base","6.08","348","00:30:04","135","151","2.7","156","163","4:57","4:17","--","--","1.28","8.6","11.0","273","--","--","313","0.0","312","381","4,690","--","No","00:00:03.9","7","--","--","--","--","00:29:55","00:30:04","--","--"
Running,2025-03-08 18:45:53,false,"Sydney - Anaerobic","5.69","389","00:37:12","136","174","3.0","134","221","6:32","2:22","31","33","1.10","7.7","8.4","281","50.1% L / 49.9% R","6:26","312","0.0","226","643","4,840","26.0","No","00:00:08.1","18","29.0","30","19","43","00:34:21","00:37:12","45","57"
Treadmill Running,2025-03-07 13:06:04,false,"Recovery","5.02","298","00:24:50","137","153","2.7","158","223","4:57","4:43","--","--","1.21","8.8","10.6","274","--","--","297","0.0","296","341","3,922","--","No","00:00:50.2","6","--","--","--","--","00:24:45","00:24:50","--","--"
Running,2025-03-06 17:27:53,false,"Sydney - Base","5.02","320","00:24:02","149","161","3.0","163","168","4:48","3:47","25","25","1.28","8.9","11.6","230","50.3% L / 49.7% R","4:49","343","0.0","342","493","3,888","26.0","No","00:00:05.7","6","29.0","29","18","45","00:23:59","00:25:00","43","56"
Running,2025-03-05 19:25:19,false,"Sydney - Sprint","4.38","307","00:31:36","130","166","2.4","133","247","7:13","2:04","25","27","1.00","7.9","7.9","273","50.6% L / 49.4% R","7:08","280","0.0","205","724","4,060","25.0","No","00:00:10","19","29.0","29","15","38","00:29:56","00:31:36","46","57"
Treadmill Running,2025-03-03 17:24:16,false,"Tempo","10.01","608","00:44:20","151","177","4.0","157","167","4:26","3:33","--","--","1.42","9.2","13.3","225","50.2% L / 49.8% R","--","357","0.0","355","516","6,910","--","No","00:01:19.8","11","--","36","19","52","00:44:13","00:45:10","--","--"
Treadmill Running,2025-03-01 16:40:30,false,"Tempo","6.39","401","00:30:04","148","163","3.3","157","166","4:42","3:57","--","--","1.34","9.1","12.4","235","50.1% L / 49.9% R","--","338","0.0","332","435","4,684","--","No","00:00:04.0","8","--","32","16","49","00:29:56","00:30:13","--","--"
Treadmill Running,2025-02-27 16:01:11,false,"Treadmill Running","21.21","1,277","01:55:37","141","155","3.7","153","240","5:27","3:21","--","--","1.28","8.6","11.0","272","--","--","309","0.0","302","458","17,542","--","No","00:02:10.2","23","--","--","--","--","01:52:06","02:13:21","--","--"
Treadmill Running,2025-02-26 17:46:21,false,"Base","6.04","338","00:29:51","133","151","2.5","158","165","4:56","4:45","--","--","1.23","8.7","10.7","273","--","--","302","0.0","301","345","4,708","--","No","00:04:00.8","6","--","--","--","--","00:29:49","00:29:51","--","--"
Treadmill Running,2025-02-23 13:32:51,false,"Base","10.94","743","00:57:33","144","164","3.5","155","165","5:16","3:52","--","--","1.57","7.8","12.2","257","--","--","379","0.0","379","414","8,868","--","No","00:01:18.1","15","--","--","--","--","00:57:22","01:00:03","--","--"
Treadmill Running,2025-02-22 13:56:04,false,"Base","6.69","412","00:33:03","139","150","3.0","157","162","4:56","3:50","--","--","1.57","7.7","12.1","253","--","--","385","0.0","384","429","5,144","--","No","00:00:02.5","10","--","--","--","--","00:33:01","00:33:03","--","--"
Treadmill Running,2025-02-21 13:54:09,false,"Threshold","6.44","401","00:29:03","151","173","3.6","157","192","4:31","3:38","--","--","1.41","9.0","12.7","226","50.5% L / 49.5% R","--","355","0.0","349","469","4,522","--","No","00:00:02.8","8","--","37","24","49","00:28:42","00:29:46","--","--"
Running,2025-02-19 09:22:46,false,"Naniwa Ward Running","5.93","347","00:28:06","133","156","2.8","161","174","4:44","2:46","50","37","1.31","8.1","10.6","255","--","4:40","351","0.0","348","533","4,592","11.0","No","00:04:22.6","6","22.0","--","--","--","00:28:00","00:33:59","8","27"
Running,2025-02-15 08:31:19,false,"Naniwa Ward Running","5.44","348","00:25:20","147","167","3.2","155","167","4:39","3:01","41","34","1.38","7.9","10.8","252","--","4:37","356","0.0","344","567","3,994","13.0","No","00:02:04.1","6","21.0","--","--","--","00:24:59","00:28:01","8","26"
Treadmill Running,2025-02-11 18:07:05,false,"Treadmill Running","6.04","279","00:30:01","121","133","1.9","154","162","4:58","5:27","--","--","0.99","9.7","9.5","295","--","--","243","0.0","235","307","4,636","--","No","00:03:14.6","5","--","--","--","--","00:29:54","00:30:01","--","--"
Running,2025-02-07 08:28:54,false,"Ota Ward Running","6.85","369","00:31:15","127","155","2.7","161","170","4:34","3:24","11","5","1.37","8.0","10.9","253","--","4:31","353","0.0","352","473","5,036","14.0","No","00:03:54.5","7","26.0","--","--","--","00:31:09","00:35:35","6","16"
Running,2025-02-02 07:37:19,false,"Ota Ward Running","9.05","498","00:44:55","125","154","2.6","157","250","4:58","3:50","13","12","1.29","8.2","10.5","257","--","4:55","333","0.0","323","437","7,072","14.0","No","00:00:19.0","10","26.0","--","--","--","00:43:59","00:46:37","1","6"
Treadmill Running,2025-01-31 19:45:09,false,"Threshold","6.14","388","00:28:02","156","178","3.4","155","209","4:34","3:22","--","--","1.48","8.0","12.0","229","49.8% L / 50.2% R","--","368","0.0","351","484","4,288","--","No","00:00:01.9","9","--","34","16","51","00:26:56","00:28:02","--","--"
Running,2025-01-29 18:42:21,false,"Sydney - Sprint","4.24","266","00:29:24","120","158","2.1","139","243","6:56","2:04","21","27","0.99","8.4","8.4","280","49.7% L / 50.3% R","6:53","276","0.0","215","707","3,898","25.0","No","00:00:10","16","28.0","28","15","40","00:29:05","00:29:24","44","58"
Treadmill Running,2025-01-28 22:18:43,false,"Treadmill Running","10.02","588","00:49:38","139","155","3.0","157","220","4:57","4:34","--","--","1.16","9.0","10.4","279","--","--","287","0.0","286","359","7,788","--","No","00:00:22.1","10","--","--","--","--","00:49:30","00:49:38","--","--"
Treadmill Running,2025-01-26 15:16:10,false,"Treadmill Running","5.01","282","00:28:24","126","137","2.0","158","164","5:40","4:55","--","--","1.11","9.1","10.2","282","--","--","272","0.0","272","335","4,478","--","No","00:05:30.2","5","--","--","--","--","00:28:23","00:28:24","--","--"
Treadmill Running,2025-01-25 14:17:15,false,"Treadmill Running","42.41","2,652","04:03:18","148","160","4.8","158","233","5:44","3:30","--","--","1.27","8.5","10.8","268","--","--","312","0.0","311","470","38,508","--","No","00:03:36.1","49","--","--","--","--","04:01:25","04:52:19","--","--"
Treadmill Running,2025-01-24 11:39:45,false,"Threshold","7.68","462","00:40:03","142","169","3.1","134","215","5:13","3:30","--","--","1.46","8.0","11.6","234","50.7% L / 49.3% R","--","343","0.0","293","489","5,280","--","No","00:00:03.1","14","--","33","17","50","00:33:46","00:40:03","--","--"
Treadmill Running,2025-01-22 16:37:27,false,"Recovery","5.27","293","00:26:04","133","145","2.3","157","162","4:57","4:25","--","--","1.22","8.8","10.7","276","--","--","298","0.0","296","376","4,080","--","No","00:00:03.9","6","--","--","--","--","00:25:54","00:26:04","--","--"
Treadmill Running,2025-01-21 22:57:38,false,"Threshold","7.49","427","00:35:09","146","168","3.1","151","208","4:42","4:03","--","--","1.24","8.8","11.3","239","50.8% L / 49.3% R","--","318","0.0","293","432","5,242","--","No","00:00:08.9","11","--","32","16","48","00:33:48","00:36:10","--","--"
Treadmill Running,2025-01-20 11:37:55,false,"Base","6.64","378","00:33:04","135","145","2.6","155","164","4:59","4:41","--","--","1.30","8.6","11.1","274","--","--","315","0.0","314","343","5,106","--","No","00:00:03.8","8","--","--","--","--","00:32:53","00:33:04","--","--"
Running,2025-01-19 11:33:44,false,"Sydney Running","16.64","1,065","01:44:04","134","154","3.2","150","197","6:15","4:09","113","114","1.07","9.9","10.9","237","50.0% L / 50.0% R","6:13","301","0.0","272","436","15,388","24.0","No","00:04:43.5","17","33.0","27","17","42","01:39:47","01:44:04","42","66"
Running,2025-01-18 19:50:17,false,"Sydney - Anaerobic","6.27","408","00:42:46","130","169","2.9","132","210","6:50","2:25","25","28","1.07","7.2","7.5","272","50.0% L / 50.0% R","6:45","308","0.0","211","608","5,486","24.0","No","00:00:19.4","23","28.0","29","19","40","00:40:15","00:42:46","45","57"
Running,2025-01-17 18:10:14,false,"Sydney - Threshold","5.08","313","00:25:04","140","171","3.0","157","179","4:56","3:37","61","63","1.29","8.2","10.5","245","50.5% L / 49.5% R","4:54","357","0.0","335","542","3,844","23.0","No","00:00:04.2","7","29.0","34","21","50","00:24:55","00:31:27","42","57"
Treadmill Running,2025-01-16 12:34:33,false,"Treadmill Running","6.54","369","00:35:40","131","149","2.4","149","247","5:27","4:54","--","--","1.21","8.8","10.3","277","--","--","287","0.0","269","334","5,244","--","No","00:00:57.2","7","--","--","--","--","00:33:44","00:35:40","--","--"
Treadmill Running,2025-01-15 18:06:20,false,"Anaerobic","6.59","388","00:43:18","128","170","2.5","136","236","6:34","2:57","--","--","1.12","7.9","8.6","314","49.9% L / 50.1% R","--","293","0.0","216","477","5,778","--","No","00:00:06.6","23","--","28","13","41","00:41:11","00:43:18","--","--"
Treadmill Running,2025-01-14 13:05:15,false,"Threshold","7.31","409","00:34:05","141","170","3.2","154","208","4:40","3:19","--","--","1.48","8.0","12.0","234","50.3% L / 49.7% R","--","368","0.0","349","534","5,158","--","No","00:00:04.8","10","--","34","14","47","00:32:57","00:34:05","--","--"
Treadmill Running,2025-01-13 17:32:51,false,"Treadmill Running","6.18","343","00:33:21","129","140","2.2","155","161","5:24","4:41","--","--","1.29","8.6","11.2","276","--","--","314","0.0","312","355","5,140","--","No","00:03:12.2","7","--","--","--","--","00:33:14","00:33:21","--","--"
Treadmill Running,2025-01-12 16:08:37,false,"Base","6.66","386","00:33:03","136","148","2.8","155","160","4:58","5:02","--","--","1.22","8.9","10.8","279","--","--","297","0.0","295","326","5,106","--","No","00:00:03.1","8","--","--","--","--","00:32:51","00:33:03","--","--"
Treadmill Running,2025-01-11 11:08:37,false,"Treadmill Running","10.05","631","00:56:28","137","152","3.0","152","164","5:37","4:39","--","--","1.25","8.7","10.8","275","--","--","302","0.0","292","346","8,494","--","No","00:02:54.2","11","--","--","--","--","00:54:23","00:56:28","--","--"
Treadmill Running,2025-01-09 18:05:07,false,"Threshold","7.01","408","00:35:14","140","166","3.1","138","233","5:02","3:38","--","--","1.32","8.7","11.6","246","50.4% L / 49.6% R","--","323","0.0","279","537","4,824","--","No","00:00:14.3","11","--","32","15","48","00:30:52","00:35:14","--","--"
Treadmill Running,2025-01-08 16:25:23,false,"Recovery","5.00","276","00:24:41","132","142","2.3","157","161","4:56","4:36","--","--","1.30","8.5","11.1","271","--","--","319","0.0","317","363","3,856","--","No","00:00:41.4","6","--","--","--","--","00:24:34","00:24:41","--","--"
Running,2025-01-07 08:48:00,false,"Sydney - Threshold","5.44","365","00:29:03","145","168","3.1","153","180","5:20","3:43","33","36","1.21","8.4","10.4","246","50.1% L / 49.9% R","5:18","346","0.0","306","489","4,378","23.0","No","00:00:03.4","7","30.0","36","17","49","00:28:57","00:29:03","44","56"
Treadmill Running,2025-01-06 18:42:05,false,"Base","6.29","361","00:33:03","133","146","2.5","152","195","5:15","4:12","--","--","1.23","8.7","10.5","275","--","--","296","0.0","282","383","5,010","--","No","00:00:03.4","7","--","--","--","--","00:31:40","00:33:03","--","--"
Treadmill Running,2025-01-05 12:55:15,false,"Long Run","10.23","503","00:56:48","125","142","2.2","152","240","5:33","3:18","--","--","1.21","8.8","10.5","278","--","--","293","0.0","282","468","8,682","--","No","00:01:38.8","11","--","--","--","--","00:55:30","00:56:48","--","--"
Treadmill Running,2025-01-04 18:13:50,false,"Base","7.03","387","00:36:19","132","146","2.3","154","193","5:10","4:03","--","--","1.30","9.3","12.5","247","50.1% L / 49.9% R","--","336","0.0","325","526","5,544","--","No","00:00:19.1","9","--","29","19","40","00:36:09","00:36:19","--","--"
Treadmill Running,2025-01-03 13:11:49,false,"Recovery","5.01","318","00:27:09","136","147","2.4","156","163","5:25","4:15","--","--","1.34","8.3","10.9","266","--","--","327","0.0","319","394","4,226","--","No","00:00:16.9","8","--","--","--","--","00:26:55","00:27:09","--","--"
Running,2025-01-02 10:21:58,false,"Sydney - Threshold","7.36","491","00:38:03","147","171","3.2","152","221","5:10","3:44","47","47","1.25","8.3","10.6","239","50.5% L / 49.5% R","5:07","346","0.0","310","537","5,704","23.0","No","00:00:02.7","9","29.0","35","19","45","00:37:42","00:39:42","41","64"
Treadmill Running,2025-01-01 19:02:28,false,"Threshold","6.89","403","00:36:47","134","160","2.9","145","233","5:20","4:23","--","--","1.20","8.7","11.0","251","50.7% L / 49.3% R","--","310","0.0","270","401","5,218","--","No","00:03:21.2","8","--","32","17","46","00:34:28","00:36:47","--","--"
Treadmill Running,2024-12-31 13:37:03,false,"Base","8.01","457","00:40:19","133","151","2.7","157","165","5:02","3:46","--","--","1.35","8.9","12.4","234","50.5% L / 49.5% R","--","347","0.0","337","538","6,282","--","No","00:01:12.8","10","--","32","21","40","00:40:17","00:40:19","--","--"
Treadmill Running,2024-12-30 09:23:49,false,"Threshold","7.48","442","00:38:59","135","163","3.0","148","255","5:13","4:14","--","--","1.22","8.3","10.7","250","50.4% L / 49.6% R","--","317","0.0","277","430","5,650","--","No","00:00:59.1","9","--","33","14","46","00:37:17","00:38:59","--","--"
Treadmill Running,2024-12-29 17:11:23,false,"Base","5.03","274","00:27:15","125","141","2.0","148","233","5:25","3:28","--","--","1.32","8.4","10.7","268","--","--","312","0.0","287","453","4,066","--","No","00:00:08.0","6","--","--","--","--","00:25:33","00:27:15","--","--"
Running,2024-12-28 20:10:47,false,"Sydney - Sprint","4.49","279","00:28:57","123","162","2.3","142","238","6:27","2:07","20","21","1.05","7.6","7.9","265","50.3% L / 49.8% R","6:25","303","0.0","229","716","4,024","24.0","No","00:00:15","15","29.0","28","15","39","00:28:37","00:28:57","43","56"
Treadmill Running,2024-12-27 18:03:19,false,"Base","6.00","346","00:30:42","134","142","2.4","149","210","5:07","3:49","--","--","1.36","8.2","10.9","264","--","--","326","0.0","303","431","4,608","--","No","00:00:20.9","7","--","--","--","--","00:29:11","00:30:42","--","--"
Treadmill Running,2024-12-25 13:22:46,false,"Threshold","9.12","523","00:45:08","139","167","3.2","148","244","4:57","4:09","--","--","1.25","9.0","11.7","235","50.2% L / 49.8% R","--","322","0.0","293","581","6,560","--","No","00:00:08.3","12","--","32","14","45","00:42:35","00:45:08","--","--"
Treadmill Running,2024-12-24 18:39:25,false,"Base","5.89","333","00:30:04","133","146","2.3","155","183","5:06","4:00","--","--","1.34","8.8","12.2","239","49.9% L / 50.1% R","--","340","0.0","328","512","4,604","--","No","00:01:08.8","7","--","29","20","36","00:29:45","00:30:04","--","--"
Treadmill Running,2024-12-23 10:36:07,false,"Threshold","6.27","367","00:28:51","144","166","3.0","154","180","4:36","3:49","--","--","1.35","8.7","11.8","236","50.2% L / 49.8% R","--","339","0.0","320","465","4,346","--","No","00:00:50.7","7","--","32","22","41","00:27:30","00:28:51","--","--"
Treadmill Running,2024-12-22 18:00:57,false,"Base","5.39","310","00:29:42","130","145","2.2","153","168","5:31","3:53","--","--","1.39","7.5","11.0","255","50.6% L / 49.4% R","--","352","0.0","323","446","4,512","--","No","00:02:10.6","7","--","28","18","39","00:29:28","00:29:42","--","--"
Running,2024-12-21 19:33:41,false,"Sydney - Anaerobic","5.46","367","00:36:41","130","170","2.7","133","196","6:43","2:57","31","32","1.09","7.0","7.8","273","50.5% L / 49.5% R","6:39","314","0.0","218","612","4,748","25.0","No","00:00:41.2","17","31.0","29","16","43","00:34:17","00:36:41","45","58"
Treadmill Running,2024-12-20 07:36:07,false,"Base","6.48","311","00:30:42","128","138","2.1","159","165","4:44","4:34","--","--","1.29","8.4","10.9","266","--","--","320","0.0","318","365","4,886","--","No","00:01:17.8","7","--","--","--","--","00:30:32","00:30:42","--","--"
Running,2024-12-19 07:36:25,false,"Sydney - Threshold","4.73","311","00:25:01","143","173","2.9","136","175","5:18","3:10","36","40","1.37","8.0","11.2","233","50.7% L / 49.3% R","5:16","360","0.0","301","563","3,362","23.0","No","00:00:01.1","6","28.0","33","19","47","00:21:06","00:25:01","46","58"
Treadmill Running,2024-12-17 09:49:59,false,"Base","6.33","387","00:36:04","133","158","2.7","145","169","5:42","4:35","--","--","1.26","8.6","10.7","272","--","--","303","0.0","274","364","5,042","--","No","00:00:03.9","8","--","--","--","--","00:32:16","00:36:04","--","--"
Treadmill Running,2024-12-16 10:56:00,false,"Base","8.00","493","00:39:09","142","151","3.1","159","167","4:54","4:31","--","--","1.29","8.5","10.9","267","--","--","320","0.0","318","373","6,212","--","No","00:00:09.4","9","--","--","--","--","00:39:01","00:39:09","--","--"
Running,2024-12-15 07:30:27,false,"Sydney - Sprint","4.12","266","00:31:30","120","161","2.1","135","240","7:38","1:58","16","20","0.92","7.2","6.8","298","49.9% L / 50.1% R","7:35","265","0.0","179","756","4,106","26.0","No","00:00:10","17","29.0","28","16","37","00:31:18","00:31:30","46","56"
Treadmill Running,2024-12-13 11:13:40,false,"Threshold","9.50","560","00:45:09","146","174","3.5","149","240","4:45","3:53","--","--","1.33","8.9","12.2","239","50.5% L / 49.5% R","--","336","0.0","312","557","6,616","--","No","00:00:08.9","12","--","36","14","54","00:42:44","00:47:21","--","--"
Treadmill Running,2024-12-12 14:07:42,false,"Treadmill","4.10","264","00:21:12","--","--","--","--","--","5:10","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","No","00:00:00","1","--","--","--","--","--:--:--","00:21:12","--","--"
Treadmill Running,2024-12-11 09:29:10,false,"Treadmill Running","7.34","431","00:34:36","141","163","3.1","159","164","4:43","4:18","--","--","1.33","9.2","12.5","233","50.8% L / 49.2% R","--","340","0.0","339","429","5,458","--","No","00:01:33.6","8","--","32","22","46","00:34:31","00:35:29","--","--"
Treadmill Running,2024-12-10 08:40:36,false,"Threshold","6.97","416","00:35:15","140","169","3.1","151","188","5:03","4:18","--","--","1.20","8.8","11.0","241","51.0% L / 49.0% R","--","308","0.0","278","418","5,224","--","No","00:00:14.7","11","--","35","14","48","00:33:56","00:35:15","--","--"
Running,2024-12-09 16:18:14,false,"Sydney - Anaerobic","5.82","381","00:39:37","122","160","2.5","129","222","6:49","2:45","25","30","1.14","7.8","8.6","254","50.3% L / 49.7% R","6:45","306","0.0","221","576","5,058","27.0","No","00:00:40","17","31.0","29","18","38","00:36:23","00:39:37","45","59"
Treadmill Running,2024-12-08 08:12:35,false,"Base","10.72","610","01:02:47","137","153","2.8","152","248","5:51","3:12","--","--","1.36","7.9","11.1","252","50.5% L / 49.5% R","--","337","0.0","311","479","9,384","--","No","00:04:22.9","13","--","28","17","38","01:01:25","01:02:47","--","--"
Treadmill Running,2024-12-07 17:32:38,false,"Base","7.51","412","00:39:04","131","145","2.3","152","165","5:12","4:35","--","--","1.28","8.5","10.7","271","--","--","311","0.0","299","365","5,990","--","No","00:00:04.4","9","--","--","--","--","00:38:14","00:39:04","--","--"
Treadmill Running,2024-12-06 13:00:26,false,"Threshold","8.84","513","00:40:05","147","172","3.5","157","167","4:32","4:37","--","--","1.24","9.6","12.2","233","50.7% L / 49.3% R","--","319","0.0","309","412","6,228","--","No","00:00:04.8","9","--","34","22","50","00:39:50","00:40:05","--","--"
Treadmill Running,2024-12-05 09:59:50,false,"Base","8.02","419","00:42:04","129","146","2.4","154","270","5:15","4:16","--","--","1.25","8.5","10.6","270","--","--","306","0.0","291","386","6,334","--","No","00:00:03.6","9","--","--","--","--","00:40:19","00:42:04","--","--"
Treadmill Running,2024-12-04 15:29:32,false,"Anaerobic","6.19","336","00:41:47","117","160","2.0","136","190","6:45","3:07","--","--","1.01","7.8","8.0","289","50.2% L / 49.8% R","--","266","0.0","195","459","5,586","--","No","00:00:05.5","22","--","29","19","42","00:39:19","00:42:36","--","--"
Running,2024-12-03 08:03:14,false,"Sydney - Threshold","5.73","421","00:35:18","142","169","3.0","132","231","6:10","4:07","43","42","1.24","8.3","10.3","246","50.0% L / 50.0% R","6:06","316","0.0","257","521","4,718","28.0","No","00:04:28.9","6","31.0","32","17","46","00:29:51","00:35:18","45","57"
Treadmill Running,2024-12-01 16:35:01,false,"Long Run","15.51","860","01:23:32","133","155","2.9","155","165","5:23","3:57","--","--","1.21","8.7","10.5","274","--","--","296","0.0","288","424","12,900","--","No","00:03:08.1","16","--","--","--","--","01:21:36","01:23:32","--","--"
Treadmill Running,2024-11-30 17:50:18,false,"Anaerobic","6.24","338","00:40:06","120","159","2.1","138","248","6:26","3:08","--","--","1.10","7.3","8.3","300","49.8% L / 50.2% R","--","291","0.0","218","454","5,376","--","No","00:00:06.1","17","--","27","17","37","00:37:48","00:40:14","--","--"
Treadmill Running,2024-11-28 10:20:07,false,"Base","8.17","546","00:42:04","144","154","3.2","159","165","5:09","3:24","--","--","1.52","7.7","11.7","250","--","--","377","0.0","376","462","6,704","--","No","00:00:04.4","12","--","--","--","--","00:41:56","00:42:04","--","--"
Treadmill Running,2024-11-27 11:31:10,false,"Threshold","8.34","515","00:40:04","148","168","3.4","152","255","4:48","4:03","--","--","1.26","8.4","10.7","250","41.3% L / 58.7% R","--","300","0.0","280","393","5,080","--","No","00:00:04.5","8","--","27","22","30","00:36:10","00:40:04","--","--"
Running,2024-11-26 20:05:32,false,"Sydney Running","0.88","60","00:05:05.5","138","149","0.9","157","163","5:47","4:52","3","4","1.10","9.1","10.0","282","--","5:48","285","0.0","279","366","798","29.0","No","00:05:05.5","1","29.0","--","--","--","00:05:05.5","00:05:05.5","43","47"
Running,2024-11-26 07:23:33,false,"Sydney - Sprint","3.87","297","00:38:03","118","160","2.2","84","236","9:50","2:08","24","16","1.10","7.9","8.1","248","48.1% L / 51.9% R","9:51","247","0.0","132","684","2,566","26.0","No","00:00:15","20","30.0","28","14","36","00:23:07","00:38:03","45","57"
Treadmill Running,2024-11-24 19:16:53,false,"Base","12.51","721","01:08:32","132","147","2.6","158","216","5:29","4:29","--","--","1.27","8.6","10.8","269","--","--","311","0.0","308","370","10,782","--","No","00:00:32.5","15","--","--","--","--","01:08:05","01:08:32","--","--"
Treadmill Running,2024-11-22 12:44:43,false,"Threshold","8.58","533","00:45:07","141","166","3.2","152","169","5:15","3:58","--","--","1.22","8.3","10.6","245","50.0% L / 50.0% R","--","326","0.0","288","429","6,790","--","No","00:01:07.1","14","--","34","12","53","00:44:54","00:45:07","--","--"
Treadmill Running,2024-11-21 17:46:03,false,"Base","8.15","466","00:42:03","134","145","2.5","156","169","5:10","4:23","--","--","1.27","8.5","10.6","267","--","--","310","0.0","300","363","6,538","--","No","00:00:02.6","10","--","--","--","--","00:41:10","00:42:03","--","--"
Treadmill Running,2024-11-20 18:04:26,false,"Base","11.04","704","00:57:07","142","157","3.3","156","225","5:10","4:12","--","--","1.27","8.5","10.6","269","--","--","310","0.0","299","394","8,908","--","No","00:00:11.8","12","--","--","--","--","00:56:09","00:57:07","--","--"
Running,2024-11-19 11:13:03,false,"Sydney - Threshold","6.64","444","00:35:12","141","173","3.1","144","197","5:18","3:41","37","38","1.25","7.8","9.6","242","46.3% L / 53.7% R","5:15","319","0.0","275","494","3,754","23.0","No","00:00:11.8","11","27.0","32","21","47","00:33:33","00:35:12","44","56"
Treadmill Running,2024-11-17 17:33:41,false,"Treadmill Running","5.02","317","00:25:06","141","148","2.6","158","180","5:00","4:00","--","--","1.28","8.5","10.8","268","--","--","316","0.0","311","418","3,942","--","No","00:00:04.3","6","--","--","--","--","00:24:43","00:25:06","--","--"
Running,2024-11-17 17:30:51,false,"Running","0.15","--","00:00:20","127","128","--","163","164","2:10","2:06","--","--","2.83","--","--","--","--","--","--","0.0","141","176","--","25.0","No","00:00:20","1","25.0","--","--","--","00:00:19","00:00:19","--","--"
Running,2024-11-16 18:08:36,false,"Sydney - Threshold","7.35","479","00:38:59","141","172","3.2","143","195","5:18","3:25","53","54","1.29","7.4","9.8","238","47.5% L / 52.5% R","5:16","346","0.0","291","585","4,406","25.0","No","00:01:28.2","12","30.0","33","24","48","00:36:11","00:39:53","40","64"
Treadmill Running,2024-11-15 13:53:07,false,"Treadmill Running","5.53","342","00:27:13","140","153","2.8","158","165","4:56","4:35","--","--","1.29","8.5","10.9","268","--","--","317","0.0","315","354","4,288","--","No","00:02:35.6","6","--","--","--","--","00:27:04","00:27:13","--","--"
Running,2024-11-14 17:31:48,false,"Sydney - Anaerobic","6.36","418","00:42:19","126","166","2.7","137","208","6:39","2:40","32","36","1.03","7.6","7.8","273","49.5% L / 50.5% R","6:37","301","0.0","217","583","5,330","23.0","No","00:00:32.7","21","28.0","28","16","39","00:41:14","00:42:19","42","56"
Treadmill Running,2024-11-13 18:08:10,false,"Base","8.24","484","00:42:04","135","147","2.8","158","169","5:06","5:18","--","--","1.07","9.1","9.7","277","--","--","263","0.0","255","306","6,644","--","No","00:00:03.5","8","--","--","--","--","00:40:23","00:42:04","--","--"
Treadmill Running,2024-11-12 17:48:48,false,"Threshold","8.56","524","00:40:08","148","170","3.5","156","170","4:41","4:07","--","--","1.23","9.2","11.6","243","49.9% L / 50.1% R","--","321","0.0","305","409","6,158","--","No","00:00:08.2","10","--","34","20","48","00:39:29","00:40:08","--","--"
Running,2024-11-11 16:57:05,false,"Sydney - Recovery","5.93","369","00:33:03","127","152","2.4","151","228","5:34","4:19","46","48","1.21","8.3","9.8","259","--","5:32","308","0.0","282","433","5,102","24.0","No","00:00:02.6","7","28.0","--","--","--","00:32:16","00:33:03","42","56"
Running,2024-11-10 18:47:59,false,"Sydney - Long Run","11.01","713","01:00:11","142","159","3.3","158","172","5:28","3:42","90","93","1.15","8.6","10.1","246","49.0% L / 51.0% R","5:25","318","0.0","297","522","9,196","23.0","No","00:00:04.2","12","29.0","29","16","39","00:59:51","01:00:33","40","63"
Running,2024-11-09 19:01:28,false,"Sydney - Sprint","4.61","308","00:32:59","126","165","2.3","136","242","7:09","2:01","21","27","0.99","7.8","7.8","290","49.9% L / 50.1% R","7:09","281","0.0","206","746","4,356","25.0","No","00:00:10","19","31.0","30","23","38","00:31:49","00:32:59","42","57"
Treadmill Running,2024-11-07 15:43:59,false,"Threshold","7.10","502","00:38:47","148","172","3.4","148","255","5:28","3:57","--","--","1.26","8.5","11.0","239","49.6% L / 50.4% R","--","321","0.0","286","445","5,626","--","No","00:00:46.9","11","--","37","17","50","00:36:08","00:38:47","--","--"
Treadmill Running,2024-11-06 18:10:20,false,"Anaerobic","6.19","411","00:40:16","134","172","2.6","140","251","6:30","2:41","--","--","1.06","8.8","8.9","320","49.6% L / 50.4% R","--","299","0.0","226","477","5,518","--","No","00:01:00","18","--","30","18","48","00:38:44","00:40:16","--","--"
Treadmill Running,2024-11-05 16:08:59,false,"Treadmill Running","4.24","245","00:20:50","133","145","2.3","158","164","4:55","5:21","--","--","1.10","9.1","10.0","281","--","--","271","0.0","268","312","3,292","--","No","00:03:25.4","4","--","--","--","--","00:20:41","00:20:50","--","--"
